149.171.126.10,47439,175.45.176.0,53,udp,INT,0.000004,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424261740,1424261740,0.004,0,0,0,0,0,0,,, ,15,15,15,15,15,15,15,,0
59.166.0.7,57043,149.171.126.8,80,tcp,FIN,1.140892,1684,10168,31,29,3,5,http,10966.85742,67343.79688,14,18,255,255,1938222145,1939229621,120,565,1,3924,8835.268278,7736.776191,1424261738,1424261740,87.654769,67.080471,0.00064,0.00052,0.00012,0,0,1,, ,1,1,1,2,1,1,1,,0
59.166.0.7,1038,149.171.126.3,21,tcp,FIN,0.959778,2934,3742,31,29,11,15,ftp,23988.88086,30615.41211,52,54,255,255,4203609582,4281922537,56,69,0,0,1753.369867,53.126227,1424261739,1424261740,18.812687,18.098887,0.00063,0.000535,0.000095,0,0,,1,1,2,1,1,2,1,1,1,,0
59.166.0.4,58526,149.171.126.5,6881,tcp,FIN,0.018374,1540,1644,31,29,4,4,-,628714.5,676172.875,16,18,255,255,450745153,455763311,96,91,0,0,73.189728,2.111081,1424261740,1424261740,1.204667,1.053118,0.0006,0.000468,0.000132,0,0,,, ,6,7,7,7,4,1,4,,0
59.166.0.6,23646,149.171.126.1,18145,tcp,FIN,0.081003,3614,47158,31,29,7,24,-,350999.3438,4582348.5,60,62,255,255,2780317251,631034839,60,761,0,0,80.040582,79.08625,1424261740,1424261740,1.367203,1.339817,0.00071,0.000605,0.000105,0,0,,, ,7,9,3,3,1,1,2,,0
59.166.0.9,22864,149.171.126.1,22,tcp,FIN,0.010635,5824,8114,31,29,14,17,ssh,4308039.5,6002069,60,60,255,255,2836122911,691006673,97,135,0,0,11.886319,0,1424261740,1424261740,0.183362,0.181055,0.000689,0.000555,0.000134,0,0,,, ,1,1,3,1,1,1,5,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,0.000004,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424261740,1424261740,0.004,0,0,0,0,0,0,,, ,15,15,15,15,15,15,15,,0
59.166.0.1,12889,149.171.126.0,25,tcp,FIN,0.52181,37262,3172,31,29,18,8,smtp,560295.875,47358.23438,52,38,255,255,2476125168,379702662,717,83,0,0,1003.853132,34.942078,1424261739,1424261740,10.224431,14.088811,0.000649,0.000521,0.000128,0,0,,, ,1,1,2,1,1,1,1,,0
59.166.0.4,37727,149.171.126.9,53,udp,CON,0.001051,132,164,31,29,0,0,dns,502378.6875,624167.5,2,2,0,0,0,0,66,82,0,0,0,0,1424261740,1424261740,0.009,0.007,0,0,0,0,0,,, ,2,1,1,7,1,1,1,,0
59.166.0.6,25944,149.171.126.1,22594,tcp,FIN,0.123777,4238,61238,31,29,7,30,-,270163.2813,3904505.5,72,74,255,255,2780323532,679677279,59,828,0,0,91.148795,89.804347,1424261740,1424261740,1.737718,1.68774,0.000715,0.00057,0.000145,0,0,,, ,7,9,3,3,1,1,2,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,0.000004,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424261740,1424261740,0.004,0,0,0,0,0,0,,, ,15,15,15,15,15,15,15,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,0.000004,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424261740,1424261740,0.004,0,0,0,0,0,0,,, ,15,15,15,15,15,15,15,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,0.000004,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424261740,1424261740,0.004,0,0,0,0,0,0,,, ,15,15,15,15,15,15,15,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,0.000004,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424261740,1424261740,0.004,0,0,0,0,0,0,,, ,15,15,15,15,15,15,15,,0
59.166.0.5,15267,149.171.126.5,35591,tcp,FIN,0.583561,4536,3080,31,29,7,7,-,59962.88281,40825.21094,28,30,255,255,390739519,636024158,162,103,0,0,1597.576954,44.554414,1424261740,1424261740,21.602037,20.106379,0.000588,0.000473,0.000115,0,0,,, ,4,7,7,5,1,1,2,,0
59.166.0.6,28099,149.171.126.7,5190,tcp,FIN,0.004255,1470,1728,31,29,5,4,-,2639718,3017626.25,22,14,255,255,3016122493,871020143,67,123,0,0,13.069529,0.355775,1424261740,1424261740,0.223947,0.272462,0.000707,0.000592,0.000115,0,0,,, ,7,2,1,3,1,1,1,,0
59.166.0.8,55894,149.171.126.5,5190,tcp,FIN,0.004328,1470,1728,31,29,5,4,-,2595194.25,2966728.25,22,14,255,255,810735985,2960632481,67,123,0,0,13.384019,0.363925,1424261740,1424261740,0.227789,0.273615,0.000794,0.00065,0.000144,0,0,,, ,1,7,7,1,1,1,2,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,0.000004,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424261740,1424261740,0.004,0,0,0,0,0,0,,, ,15,15,15,15,15,15,15,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,0.000004,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424261740,1424261740,0.004,0,0,0,0,0,0,,, ,15,15,15,15,15,15,15,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,0.000004,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424261740,1424261740,0.004,0,0,0,0,0,0,,, ,15,15,15,15,15,15,15,,0
